time,on/off,note,velocity,channel
0.0000,on,62,100,1
1.0000,off,62,0,1
1.0000,on,69,100,1
2.0000,off,69,0,1
2.0000,on,65,100,1
3.0000,off,65,0,1
3.0000,on,62,100,1
4.0000,off,62,0,1
4.0000,on,61,100,1
5.0000,off,61,0,1
5.0000,on,62,100,1
5.5000,off,62,0,1
5.5000,on,64,100,1
6.0000,off,64,0,1
6.0000,on,65,100,1
7.2500,off,65,0,1
7.2500,on,67,100,1
7.5000,off,67,0,1
7.5000,on,65,100,1
7.7500,off,65,0,1
7.7500,on,64,100,1
8.0000,off,64,0,1
8.0000,on,69,100,0
8.0000,on,62,100,1
8.5000,off,62,0,1
8.5000,on,64,100,1
9.0000,off,69,0,0
9.0000,off,64,0,1
9.0000,on,74,100,0
9.0000,on,65,100,1
9.5000,off,65,0,1
9.5000,on,67,100,1
10.0000,off,74,0,0
10.0000,off,67,0,1
10.0000,on,72,100,0
10.0000,on,69,100,1
10.5000,off,69,0,1
10.5000,on,57,100,1
10.7500,off,57,0,1
10.7500,on,59,100,1
11.0000,off,72,0,0
11.0000,off,59,0,1
11.0000,on,69,100,0
11.0000,on,60,100,1
11.2500,off,60,0,1
11.2500,on,57,100,1
11.5000,off,57,0,1
11.5000,on,65,100,1
12.0000,off,69,0,0
12.0000,on,68,100,0
12.2500,off,65,0,1
12.2500,on,59,100,1
12.5000,off,59,0,1
12.5000,on,64,100,1
13.0000,off,68,0,0
13.0000,on,69,100,0
13.2500,off,64,0,1
13.2500,on,65,100,1
13.5000,off,69,0,0
13.5000,off,65,0,1
13.5000,on,71,100,0
13.5000,on,64,100,1
13.7500,off,64,0,1
13.7500,on,62,100,1
14.0000,off,71,0,0
14.0000,off,62,0,1
14.0000,on,72,100,0
14.0000,on,64,100,1
14.5000,off,64,0,1
14.5000,on,66,100,1
15.0000,off,66,0,1
15.0000,on,67,100,1
15.2500,off,72,0,0
15.2500,on,74,100,0
15.5000,off,74,0,0
15.5000,on,72,100,0
15.7500,off,72,0,0
15.7500,on,70,100,0
16.0000,off,70,0,0
16.0000,on,69,100,0
