time,on/off,note,velocity,channel,param
0.0000,off,0,0,0,
0.0100,off,1,0,0,
0.0200,off,2,0,0,
0.0300,off,3,0,0,
0.0400,off,4,0,0,
0.0500,off,5,0,0,
0.0600,off,6,0,0,
0.0700,off,7,0,0,
0.0800,off,8,0,0,
0.0900,off,9,0,0,
0.1000,off,10,0,0,
0.1100,off,11,0,0,
0.1200,off,12,0,0,
0.1300,off,13,0,0,
0.1400,off,14,0,0,
0.1500,off,15,0,0,
0.1600,off,16,0,0,
0.1700,off,17,0,0,
0.1800,off,18,0,0,
0.1900,off,19,0,0,
0.2000,off,20,0,0,
0.2100,off,21,0,0,
0.2200,off,22,0,0,
0.2300,off,23,0,0,
0.2400,off,24,0,0,
0.2500,off,25,0,0,
0.2600,off,26,0,0,
0.2700,off,27,0,0,
0.2800,off,28,0,0,
0.2900,off,29,0,0,
0.3000,off,30,0,0,
0.3100,off,31,0,0,
0.3200,off,32,0,0,
0.3300,off,33,0,0,
0.3400,off,34,0,0,
0.3500,off,35,0,0,
0.3600,off,36,0,0,
0.3700,off,37,0,0,
0.3800,off,38,0,0,
0.3900,off,39,0,0,
0.4000,off,40,0,0,
0.4100,off,41,0,0,
0.4200,off,42,0,0,
0.4300,off,43,0,0,
0.4400,off,44,0,0,
0.4500,off,45,0,0,
0.4600,off,46,0,0,
0.4700,off,47,0,0,
0.4800,off,48,0,0,
0.4900,off,49,0,0,
0.5000,off,50,0,0,
0.5100,off,51,0,0,
0.5200,off,52,0,0,
0.5300,off,53,0,0,
0.5400,off,54,0,0,
0.5500,off,55,0,0,
0.5600,off,56,0,0,
0.5700,off,57,0,0,
0.5800,off,58,0,0,
0.5900,off,59,0,0,
0.6000,off,60,0,0,
0.6100,off,61,0,0,
0.6200,off,62,0,0,
0.6300,off,63,0,0,
0.6400,off,64,0,0,
0.6500,off,65,0,0,
0.6600,off,66,0,0,
0.6700,off,67,0,0,
0.6800,off,68,0,0,
0.6900,off,69,0,0,
0.7000,off,70,0,0,
0.7100,off,71,0,0,
0.7200,off,72,0,0,
0.7300,off,73,0,0,
0.7400,off,74,0,0,
0.7500,off,75,0,0,
0.7600,off,76,0,0,
0.7700,off,77,0,0,
0.7800,off,78,0,0,
0.7900,off,79,0,0,
0.8000,off,80,0,0,
0.8100,off,81,0,0,
0.8200,off,82,0,0,
0.8300,off,83,0,0,
0.8400,off,84,0,0,
0.8500,off,85,0,0,
0.8600,off,86,0,0,
0.8700,off,87,0,0,
0.8800,off,88,0,0,
0.8900,off,89,0,0,
0.9000,off,90,0,0,
0.9100,off,91,0,0,
0.9200,off,92,0,0,
0.9300,off,93,0,0,
0.9400,off,94,0,0,
0.9500,off,95,0,0,
0.9600,off,96,0,0,
0.9700,off,97,0,0,
0.9800,off,98,0,0,
0.9900,off,99,0,0,
1.0000,off,100,0,0,
1.0100,off,101,0,0,
1.0200,off,102,0,0,
1.0300,off,103,0,0,
1.0400,off,104,0,0,
1.0500,off,105,0,0,
1.0600,off,106,0,0,
1.0700,off,107,0,0,
1.0800,off,108,0,0,
1.0900,off,109,0,0,
1.1000,off,110,0,0,
1.1100,off,111,0,0,
1.1200,off,112,0,0,
1.1300,off,113,0,0,
1.1400,off,114,0,0,
1.1500,off,115,0,0,
1.1600,off,116,0,0,
1.1700,off,117,0,0,
1.1800,off,118,0,0,
1.1900,off,119,0,0,
1.2000,off,120,0,0,
1.2100,off,121,0,0,
1.2200,off,122,0,0,
1.2300,off,123,0,0,
1.2400,off,124,0,0,
1.2500,off,125,0,0,
1.2600,off,126,0,0,
1.2700,off,127,0,0,
