f2,f1,Mean,SD
33,32,0.067,0.126
16,15,0.025,0.064
11,10,0.047,0.084
9,8,0.123,0.152
7,6,0.153,0.186
6,5,0.306,0.138
11,9,0.256,0.149
5,4,0.569,0.155
9,7,0.334,0.185
4,3,0.677,0.124
11,8,0.234,0.178
7,5,0.224,0.138
16,11,0.15,0.122
3,2,0.85,0.089
14,9,0.219,0.136
8,5,0.378,0.119
18,11,0.325,0.178
5,3,0.609,0.225
7,4,0.291,0.190
9,5,0.273,0.135
11,6,0.184,0.150
15,8,0.188,0.107
27,14,0.117,0.121
2,1,0.979,0.058
33,16,0.086,0.130
32,15,0.157,0.122
9,4,0.319,0.144
12,5,0.409,0.143
5,2,0.628,0.176
8,3,0.575,0.160
14,5,0.325,0.150
3,1,0.814,0.093
16,5,0.384,0.179
10,3,0.550,0.183
7,2,0.400,0.165
18,5,0.334,0.141
15,4,0.312,0.144
4,1,0.825,0.121
